INTERACTOR_1 INTERACTOR_2
ca2054	ca236
ca2055	ca2056
ca2057	ca2058
ca2059	ca2060
ca1216	ca1056
ca1385	ca2061
ca986	ca371
ca721	ca711
ca725	ca492
ca2062	ca2063
ca2064	ca2065
ca2066	ca2067
ca2068	ca2069
ca2070	ca818
ca2071	ca311
ca2009	ca629
ca2072	ca1866
ca2073	ca2074
ca1479	ca1716
ca1330	ca2075
ca2076	ca2077
ca2078	ca1924
ca523	ca1504
ca2079	ca2080
ca2081	ca2082
ca2083	ca685
ca902	ca2084
ca2085	ca351
ca2086	ca1675
ca2087	ca2088
ca2089	ca883
ca2090	ca1377
ca2091	ca2092
ca453	ca2093
ca2094	ca673
ca5	ca1422
ca2095	ca1044
ca2096	ca2097
ca2098	ca134
ca572	ca2099
ca1226	ca311
ca212	ca2100
ca1125	ca2101
ca2102	ca2103
ca2104	ca2105
ca2106	ca2107
ca2108	ca2109
ca2110	ca358
ca2111	ca2112
ca1931	ca2113
ca1188	ca2114
ca1040	ca2115
ca442	ca2116
ca840	ca395
ca2117	ca2118
ca280	ca196
ca2119	ca2120
ca2121	ca2122
ca2123	ca466
ca2124	ca2125
ca2126	ca2127
ca2091	ca83
ca2128	ca2129
ca2130	ca2131
ca183	ca2132
ca2133	ca2134
ca1475	ca2135
ca1724	ca312
ca2136	ca2137
ca2138	ca52
ca2139	ca442
ca2140	ca2109
ca331	ca1987
ca92	ca2141
ca2142	ca591
ca1675	ca1955
ca965	ca2143
ca784	ca2144
ca204	ca275
ca2145	ca784
ca2146	ca327
ca863	ca2147
ca2047	ca1584
ca2136	ca2148
ca2149	ca2150
ca2151	ca2152
ca2153	ca2154
ca453	ca1781
ca2155	ca2156
ca1928	ca2157
ca2158	ca1427
ca1878	ca235
ca1461	ca2159
ca233	ca833
ca1772	ca317
ca2160	ca2161
ca2162	ca2163
ca1514	ca2164
ca541	ca433
ca76	ca2165
ca1590	ca1732
ca2166	ca2167
ca308	ca1164
ca2020	ca1344
ca2168	ca195
ca124	ca2169
ca13	ca2170
ca2171	ca2172
ca2173	ca1810
ca523	ca2174
ca2175	ca662
ca1407	ca2176
ca2177	ca2023
ca2178	ca2179
ca1546	ca2180
ca2181	ca2182
ca2183	ca2184
ca280	ca425
ca2185	ca2186
ca705	ca852
ca580	ca2187
ca2188	ca934
ca387	ca2189
ca2190	ca2191
ca2192	ca718
ca31	ca1210
ca2193	ca2094
ca146	ca2194
ca236	ca1173
ca2195	ca2196
ca2197	ca2198
ca31	ca2199
ca2200	ca367
ca527	ca2201
ca2202	ca2203
ca2204	ca898
ca1178	ca1800
ca863	ca2205
ca309	ca2206
ca519	ca958
ca2207	ca802
ca599	ca928
ca280	ca2208
ca2209	ca2210
ca2211	ca2212
ca22	ca2213
ca2214	ca442
ca2215	ca2216
ca2217	ca519
ca2218	ca2219
ca2220	ca1555
ca2221	ca2222
ca588	ca2223
ca2224	ca2225
ca442	ca2226
ca653	ca2227
ca2228	ca2229
ca1107	ca2230
ca2061	ca2231
ca1439	ca621
ca2232	ca928
ca2000	ca2233
ca2234	ca2235
ca228	ca2236
ca1289	ca2237
ca1967	ca2238
ca112	ca1050
ca2239	ca2240
ca2241	ca2242
ca2243	ca2244
